Question,Retrieved Sources,Answer,Time (s),Fallback,Grounded,Correct
How do I define a basic path parameter in FastAPI?,"tutorial_first-steps.md, tutorial_query-params-str-validations.md, tutorial_query-params.md","Based on the documentation, the most relevant excerpt is:

or any other case variation (uppercase, first letter in uppercase, etc), your function will see the parameter `short` with a `bool` value of `True`. Otherwise as `False`.


## Multiple path and query parameters { #multiple-path-and-query-parameters }

You can declare multiple path parameters and query parameters at the same time, **FastAPI** knows which is which.

And you don't have to declare them in any specific order.

They will be detected by name:

{* ../../docs_src/query_params/tutorial004

Sources: tutorial_first-steps.md, tutorial_query-params-str-validations.md, tutorial_query-params.md",37.66,Yes,Yes,No
How does query parameter validation work with Query in FastAPI?,tutorial_query-params-str-validations.md,"FastAPI validates the data for a `Query` type by ensuring it meets specific criteria, such as maximum length of 50 characters when using `max_length=50`. This is done through automatic documentation generation that includes this validation information. The parameter can be optional with no default value provided (as shown in your example), and FastAPI will enforce the specified constraints on incoming requests to ensure data integrity during processing.

Sources: tutorial_query-params-str-validations.md",22.5,No,Yes,No
How can I handle CORS (Cross-Origin Resource Sharing) in FastAPI?,tutorial_cors.md,"To manage Cross-Origin Request sharing with your **FastAPI** application, you should explicitly specify allowed origins. This ensures that only requests from the specified domains are processed correctly.

You do this by importing `CORSMiddleware` or using it via Starlette's middleware system (`from starlette.middleware.cors import CORSMiddleware`). Then create a list of strings representing these origin URLs and add them as an ""middleware"" to your FastAPI application. This way, only requests from the specified origins will be allowed through CORS restrictions.

For more detailed control over headers or methods used in cross-origin communication:

- Credentials: Specify whether credentials (like cookies) are accepted.
  
  - Authorization Headers
    * Cookies

These settings can also specify which HTTP method is permitted across all domains (`*`) by default, ensuring that your application handles requests from any origin.

Sources: tutorial_cors.md",27.64,No,Yes,No
What is the difference between path parameters and query parameters in FastAPI?,"tutorial_query-params-str-validations.md, tutorial_query-params.md","Based on the documentation, the most relevant excerpt is:

or any other case variation (uppercase, first letter in uppercase, etc), your function will see the parameter `short` with a `bool` value of `True`. Otherwise as `False`.


## Multiple path and query parameters { #multiple-path-and-query-parameters }

You can declare multiple path parameters and query parameters at the same time, **FastAPI** knows which is which.

And you don't have to declare them in any specific order.

They will be detected by name:

{* ../../docs_src/query_params/tutorial004

Sources: tutorial_query-params-str-validations.md, tutorial_query-params.md",35.58,Yes,Yes,Yes
How do I add custom middleware to process requests and responses?,tutorial_middleware.md,"To create a custom middleware in FastAPI, use the @app.middleware(""http"") decorator on top of your function. This allows you to intercept every request before it reaches any specific path operation or response is generated after processing by other operations.

The decorated method receives two parameters:
- The `request` object containing information about incoming requests.
- A callable named ""call_next"" that will receive the same `request`. You can use this function as a proxy for passing through to another middleware, and then forward any remaining logic or code you want executed on each request.

Sources: tutorial_middleware.md",52.69,No,Yes,Yes
How does dependency injection work with Depends in FastAPI?,tutorial_dependencies_index.md,"Based on the documentation, the most relevant excerpt is:

er call those functions directly. They are called by your framework (in this case, **FastAPI**).

With the Dependency Injection system, you can also tell **FastAPI** that your *path operation function* also ""depends"" on something else that should be executed before your *path operation function*, and **FastAPI** will take care of executing it and ""injecting"" the results.

Other common terms for this same idea of ""dependency injection"" are:

* resources
* providers
* services
* injectables
* comp

Sources: tutorial_dependencies_index.md",56.02,Yes,Yes,Yes
Can dependencies have sub-dependencies in FastAPI?,"index.md, tutorial_dependencies_index.md","Based on the documentation, the most relevant excerpt is:

the dependency injection system makes **FastAPI** compatible with:

* all the relational databases
* NoSQL databases
* external packages
* external APIs
* authentication and authorization systems
* API usage monitoring systems
* response data injection systems
* etc.

## Simple and Powerful { #simple-and-powerful }

Although the hierarchical dependency injection system is very simple to define and use, it's still very powerful.

You can define dependencies that in turn can define dependencies t

Sources: index.md, tutorial_dependencies_index.md",39.14,Yes,Yes,Yes
How do I run background tasks after returning a response?,tutorial_background-tasks.md,"Based on the documentation, the most relevant excerpt is:

# Background Tasks { #background-tasks }

You can define background tasks to be run *after* returning a response.

This is useful for operations that need to happen after a request, but that the client doesn't really have to be waiting for the operation to complete before receiving the response.

This includes, for example:

* Email notifications sent after performing an action:
    * As connecting to an email server and sending an email tends to be ""slow"" (several seconds), you can return the r

Sources: tutorial_background-tasks.md",54.52,Yes,Yes,No
How do I return a JSONResponse directly in an endpoint?,advanced_response-directly.md,"Based on the documentation, the most relevant excerpt is:

response }

You can return a `Response` or any sub-class of it.

/// note

`JSONResponse` itself is a sub-class of `Response`.

///

And when you return a `Response`, **FastAPI** will pass it directly.

It won't do any data conversion with Pydantic models, it won't convert the contents to any type, etc.

This gives you a lot of **flexibility**. You can return any data type, override any data declaration or validation, etc.

It also gives you a lot of **responsibility**. You have to make sure tha

Sources: advanced_response-directly.md",46.64,Yes,Yes,Yes
What security utilities does FastAPI provide for OAuth2 passwords and tokens?,tutorial_security_first-steps.md,"Based on the documentation, the most relevant excerpt is:

t it can use the class `OAuth2PasswordBearer` (declared in a dependency) to define the security scheme in OpenAPI because it inherits from `fastapi.security.oauth2.OAuth2`, which in turn inherits from `fastapi.security.base.SecurityBase`.

All the security utilities that integrate with OpenAPI (and the automatic API docs) inherit from `SecurityBase`, that's how **FastAPI** can know how to integrate them in OpenAPI.

///

## What it does { #what-it-does }

It will go and look in the request for t

Sources: tutorial_security_first-steps.md",14.1,Yes,Yes,No
